baseline_method,ci95_difference_high,ci95_difference_low,direction,focal_method,improvement_ci95_high,improvement_ci95_low,improvement_difference,mean_difference,metric,n_pairs,sample_std_difference,sem_difference
majority_vote,0.0,0.0,lower_better,source_memory,-0.0,-0.0,-0.0,0.0,false_clearance_replan_checks,2,0.0,0.0
majority_vote,0.0,0.0,lower_better,source_memory,-0.0,-0.0,-0.0,0.0,false_clearance_path_changes,2,0.0,0.0
majority_vote,5.8531023682,-6.8531023682,lower_better,source_memory,6.8531023682,-5.8531023682,0.5,-0.5,stale_reassertion_replan_checks,2,0.7071067811865476,0.5
majority_vote,5.8531023682,-6.8531023682,lower_better,source_memory,6.8531023682,-5.8531023682,0.5,-0.5,stale_reassertion_path_changes,2,0.7071067811865476,0.5
majority_vote,0.0,0.0,target_zero,source_memory,-0.0,-0.0,-0.0,0.0,benign_blocked_moves,2,0.0,0.0
majority_vote,4.22874631392205,-4.384224169399907,lower_better,source_memory,4.384224169399907,-4.22874631392205,0.07773892773892799,-0.07773892773892799,replans_per_delivery,2,0.47931620505605604,0.3389277389277389
majority_vote,2.4639229139769228,-2.2897970398510488,lower_better,source_memory,2.2897970398510488,-2.4639229139769228,-0.08706293706293705,0.08706293706293705,traffic_waits_per_delivery,2,0.26454694261175027,0.18706293706293703
majority_vote,0.0,0.0,lower_better,source_memory,-0.0,-0.0,-0.0,0.0,deadlocks_detected,2,0.0,0.0
majority_vote,0.0,0.0,target_zero,source_memory,-0.0,-0.0,-0.0,0.0,robot_overlap_violations,2,0.0,0.0
majority_vote,0.0,0.0,target_zero,source_memory,-0.0,-0.0,-0.0,0.0,intent_commit_mismatches,2,0.0,0.0
majority_vote,0.0,0.0,diagnostic,source_memory,,,,0.0,productive_replan_ratio,2,0.0,0.0
majority_vote,86.796535523,-103.796535523,diagnostic,source_memory,,,,-8.5,time_to_distrust_malicious_robot,2,10.606601717798213,7.5
majority_vote,1755.93071046,-2055.9307104600002,diagnostic,source_memory,,,,-150.0,time_to_all_benign_distrust,2,212.13203435596427,150.0
majority_vote,0.0,0.0,higher_better,source_memory,0.0,0.0,0.0,0.0,distrusted_benign_robot_count,2,0.0,0.0
majority_vote,0.4269849218105848,-0.33287026035322165,diagnostic,source_memory,,,,0.04705733072868154,attacker_min_trust_mean,2,0.04228632885857289,0.02990094988738129
majority_vote,0.657920830185726,-0.5570834784504763,diagnostic,source_memory,,,,0.050418675867624885,final_attacker_trust_mean,2,0.0676156101393773,0.04781145644361956
majority_vote,2237.6369151964,-1599.6369151963997,higher_better,source_memory,2237.6369151964,-1599.6369151963997,319.0,319.0,malicious_reports_operationally_ignored,2,213.54624791833734,150.99999999999997
majority_vote,42.971716577399995,-45.971716577399995,lower_better,source_memory,45.971716577399995,-42.971716577399995,1.5,-1.5,attack_induced_path_changes,2,4.949747468305833,3.4999999999999996
majority_vote,4.641903984451868,-4.2694174640125775,lower_better,source_memory,4.2694174640125775,-4.641903984451868,-0.186243260219645,0.186243260219645,attack_route_penalty_mean,2,0.4959195885999589,0.3506681040222738
majority_vote,49.6032664526676,-43.06389871778377,lower_better,source_memory,43.06389871778377,-49.6032664526676,-3.2696838674419126,3.2696838674419126,attack_route_penalty_max,2,5.156975056260988,3.6465320326920216
majority_vote,166.31622122642366,-153.93689238625902,lower_better,source_memory,153.93689238625902,-166.31622122642366,-6.189664420082316,6.189664420082316,attack_route_penalty_total,2,17.822249289192065,12.602233328384836
majority_vote,1.1748175488342856,-1.0033889774057143,lower_better,source_memory,1.0033889774057143,-1.1748175488342856,-0.08571428571428572,0.08571428571428572,attack_extra_path_length_mean,2,0.12121830534626529,0.08571428571428572
majority_vote,27.4124094728,-23.4124094728,lower_better,source_memory,23.4124094728,-27.4124094728,-2.0,2.0,attack_extra_path_length_max,2,2.8284271247461903,2.0
majority_vote,41.1186142092,-35.1186142092,lower_better,source_memory,35.1186142092,-41.1186142092,-3.0,3.0,attack_extra_path_length_total,2,4.242640687119285,2.9999999999999996
majority_vote,474.513701297,-605.513701297,lower_better,source_memory,605.513701297,-474.513701297,65.5,-65.5,steps_route_affected_by_attacker,2,60.10407640085654,42.5
majority_vote,0.46496600392011517,-0.2707105346449859,diagnostic,source_memory,,,,0.09712773463756463,recovery_start_attacker_trust_mean,2,0.04094077499703632,0.028949499627437036
majority_vote,0.1827088863001448,-0.2743764894425431,diagnostic,source_memory,,,,-0.04583380157119915,recovery_trust_gain,2,0.025437034541317256,0.01798669961744187
majority_vote,0.0,0.0,higher_better,source_memory,0.0,0.0,0.0,0.0,deliveries_during_recon,2,0.0,0.0
majority_vote,20.5593071046,-17.5593071046,higher_better,source_memory,20.5593071046,-17.5593071046,1.5,1.5,deliveries_during_attack,2,2.1213203435596424,1.4999999999999998
majority_vote,0.0,0.0,higher_better,source_memory,0.0,0.0,0.0,0.0,deliveries_during_recovery,2,0.0,0.0
majority_vote,90.94343315479999,-86.94343315479999,lower_better,source_memory,86.94343315479999,-90.94343315479999,-2.0,2.0,traffic_wait_steps_during_attack,2,9.899494936611665,6.999999999999999
majority_vote,157.327559205,-160.327559205,lower_better,source_memory,160.327559205,-157.327559205,1.5,-1.5,replans_during_attack,2,17.67766952966369,12.5
majority_vote,1.784012785909118,-2.9060716094385297,lower_better,source_memory,2.9060716094385297,-1.784012785909118,0.5610294117647059,-0.5610294117647059,mean_influential_fake_cells_during_attack,2,0.2610055912909168,0.18455882352941178
majority_vote,1.784012785909118,-2.9060716094385297,lower_better,source_memory,2.9060716094385297,-1.784012785909118,0.5610294117647059,-0.5610294117647059,attack_mean_influential_fake_cells,2,0.2610055912909168,0.18455882352941178
majority_vote,0.09866225115676465,-0.1442504864508823,lower_better,source_memory,0.1442504864508823,-0.09866225115676465,0.022794117647058822,-0.022794117647058822,attack_fraction_samples_influenced,2,0.013518217875625169,0.00955882352941176
majority_vote,0.5548354595002665,-0.548685870076391,lower_better,source_memory,0.548685870076391,-0.5548354595002665,-0.003074794711937716,0.003074794711937716,attack_mean_attacker_route_cost,2,0.06141152543310357,0.04342450607675766
majority_vote,0.09866225115676465,-0.1442504864508823,lower_better,source_memory,0.1442504864508823,-0.09866225115676465,0.022794117647058822,-0.022794117647058822,attack_fraction_route_affected,2,0.013518217875625169,0.00955882352941176
full_trust,0.0,0.0,higher_better,source_memory,0.0,0.0,0.0,0.0,benign_total_deliveries_completed,2,0.0,0.0
full_trust,0.0,0.0,higher_better,source_memory,0.0,0.0,0.0,0.0,benign_deliveries_after_attack,2,0.0,0.0
full_trust,0.0,0.0,higher_better,source_memory,0.0,0.0,0.0,0.0,benign_deliveries_after_distrust,2,0.0,0.0
full_trust,0.0,0.0,higher_better,source_memory,0.0,0.0,0.0,0.0,benign_success_rate,2,0.0,0.0
full_trust,0.0,0.0,higher_better,source_memory,0.0,0.0,0.0,0.0,deliveries_per_1000_steps,2,0.0,0.0
full_trust,0.0,0.0,lower_better,source_memory,-0.0,-0.0,-0.0,0.0,benign_no_path_steps,2,0.0,0.0
full_trust,1.3550238141497022,-1.2247207838466625,lower_better,source_memory,1.2247207838466625,-1.3550238141497022,-0.06515151515151985,0.06515151515151985,distance_per_delivery,2,0.14356410405908698,0.10151515151515156
